MMEID,Ex_Name,Series_Name,gwcode,country,year,Location,lat,lon,StartDate,s.year,s.month,s.day,EndDate,e.year,e.month,e.day,CPX,Air,Land,Sea,Amphibious,Cyber,Warfighting,Peacekeeping,Humanitarian,FocusDescription,AdditionalParticipantInfo,participant_count
mme1005,Unitas 92,Unitas,140,Brazil,1992,"South Atlantic, Port Recife",-8.086601,-34.892904,1992-07-xx,1992,7,xx,7/25/92,1992,7,25,0,0,0,1,0,0,1,0,0,performs a war operation jointly,NA,2
mme1005,Unitas 92,Unitas,2,United States,1992,"South Atlantic, Port Recife",-8.086601,-34.892904,1992-07-xx,1992,7,xx,7/25/92,1992,7,25,0,0,0,1,0,0,1,0,0,performs a war operation jointly,NA,2
mme1006,-9,NA,690,Kuwait,1992,kuwait,29.31166,47.481766,8/17/92,1992,8,17,1992-09-xx,1992,9,xx,0,0,1,0,0,0,1,0,0,"train the amiri guard and newly formed kuwaiti marines in night patrols, urban combat, sniping, bayonets and other close quarters fighting.",NA,2
mme1006,-9,NA,200,United Kingdom,1992,kuwait,29.31166,47.481766,8/17/92,1992,8,17,1992-09-xx,1992,9,xx,0,0,1,0,0,0,1,0,0,"train the amiri guard and newly formed kuwaiti marines in night patrols, urban combat, sniping, bayonets and other close quarters fighting.",NA,2
mme1007,-9,NA,850,Indonesia,1992,brani naval base of singapore.,1.2599015,103.8346685,8/21/92,1992,8,21,8/29/92,1992,8,29,0,0,0,1,0,0,1,0,0,validate the procedures for coordinated patrols and to enhance mutual understanding,NA,2
mme1007,-9,NA,830,Singapore,1992,brani naval base of singapore.,1.2599015,103.8346685,8/21/92,1992,8,21,8/29/92,1992,8,29,0,0,0,1,0,0,1,0,0,validate the procedures for coordinated patrols and to enhance mutual understanding,NA,2
mme1009,-9,NA,770,Pakistan,1992,"Arabian Sea, 60-70 miles from karachi",12.2501506,64.33717,8/15/92,1992,8,15,8/16/92,1992,8,16,0,0,0,1,0,0,1,0,0,"anti-submarine warfare, gunnery, communication and seamen exercises, besides display of fire power.",NA,2
mme1009,-9,NA,2,United States,1992,"Arabian Sea, 60-70 miles from karachi",12.2501506,64.33717,8/15/92,1992,8,15,8/16/92,1992,8,16,0,0,0,1,0,0,1,0,0,"anti-submarine warfare, gunnery, communication and seamen exercises, besides display of fire power.",NA,2
mme101,Maple Flag 80,Maple Flag,20,Canada,1980,western Canada,49.2053121,-122.6919951,5/1/80,1980,5,1,5/1/80,1980,5,1,0,1,0,0,0,0,1,0,0,a joint exercise,NA,3
mme101,Maple Flag 80,Maple Flag,200,United Kingdom,1980,western Canada,49.2053121,-122.6919951,5/1/80,1980,5,1,5/1/80,1980,5,1,0,1,0,0,0,0,1,0,0,a joint exercise,NA,3
