year,month,quarter,state,fipscode,army_ad,navy_ad,marine_corps_ad,air_force_ad,coast_guard_ad,troops_ad,army_national_guard,army_reserve,navy_reserve,marine_corps_reserve,air_national_guard,air_force_reserve,coast_guard_reserve,total_selected_reserve,army_civilian,navy_civilian,marine_corps_civilian,air_force_civilian,dod_civilian,total_civilian,space_force_ad
2024,June,2,Nevada,32,156,1031,23,10385,6,11631,3293,1228,662,170,1111,1236,1,7701,560,318,0,1798,404,3080,30
2024,June,2,New Hampshire,33,62,780,28,164,37,1076,1567,878,277,126,1068,1,9,3926,587,27,5,380,187,1186,5
2024,June,2,New Jersey,34,648,388,428,4754,1718,7937,6164,3657,1202,997,2321,1835,248,16424,5607,2566,5,2106,679,10963,1
2024,June,2,New Mexico,35,338,57,136,12712,2,13457,2387,627,168,101,917,224,0,4424,2331,148,0,3639,552,6670,212
2024,June,2,New York,36,15505,752,499,481,938,18181,11182,7002,1632,1761,5698,1099,343,28717,6737,135,29,2172,2758,11831,6
2024,June,2,North Carolina,37,42963,4186,39866,6243,1453,94713,8749,6222,1138,937,1450,1515,230,20241,8158,4574,2908,1377,6113,23130,2
2024,June,2,North Dakota,38,29,4,6,7072,0,7145,2928,172,67,64,1130,36,0,4397,581,3,1,1164,126,1875,34
2024,June,2,Ohio,39,502,273,266,5156,331,6761,10018,4902,1079,810,4668,3307,208,24992,1852,168,9,16796,9576,28401,233
2024,June,2,Oklahoma,40,11387,1602,369,6253,21,19640,6570,1748,403,212,2173,1806,0,12912,5003,177,11,18478,2666,26335,8
2024,June,2,Oregon,41,140,162,129,123,963,1517,4638,448,448,303,2066,120,84,8107,2308,44,2,506,32,2892,0
2024,June,2,Pennsylvania,42,879,601,297,219,292,2293,12940,5876,635,853,3791,1238,110,25443,8114,8059,21,1123,8270,25587,5
2024,June,2,Rhode Island,44,114,2776,243,53,492,3683,2108,528,575,71,1006,2,54,4344,304,4648,2,255,217,5426,5
2024,June,2,South Carolina,45,11501,6589,7886,8553,1217,35749,9247,3934,670,361,1344,2070,197,17823,3260,3525,736,2123,1650,11294,3
2024,June,2,South Dakota,46,43,3,2,3100,0,3151,2961,341,67,0,1079,21,0,4469,631,7,0,776,97,1511,3
2024,June,2,Tennessee,47,366,1559,155,169,147,2396,9026,3367,1360,522,3401,12,35,17723,3062,1475,5,1214,1488,7244,0
2024,June,2,Texas,48,66266,6142,2255,33837,1690,110558,19349,18495,5496,3321,3041,5671,330,55703,17248,1520,39,17254,13123,49184,368
2024,June,2,Utah,49,179,31,130,4067,3,4415,5868,2466,345,83,1418,1293,0,11473,2161,77,1,13076,1375,16690,5
2024,June,2,Vermont,50,37,5,6,58,25,132,1751,92,38,0,1011,0,8,2900,283,7,1,259,29,579,1
2024,June,2,Virginia,51,19222,74938,10195,12320,4011,121687,6972,7700,5364,1421,1416,2081,432,25386,16882,42513,5218,7063,30271,101947,1001
2024,September,3,Alabama,1,4511,57,175,2848,893,8553,9436,3763,268,683,2382,1188,112,17832,17802,188,8,2376,1347,21721,69
2024,September,3,Alaska,2,10081,39,10,8485,1797,20426,1092,283,94,50,2128,359,37,4043,2125,9,0,2635,488,5257,14
2024,September,3,Arizona,4,2648,381,3353,9723,16,16130,3684,3193,956,441,2517,2282,1,13074,3762,206,456,3140,719,8283,9
2024,September,3,Arkansas,5,127,6,73,3415,21,3644,6194,1417,114,140,1954,441,0,10260,2299,18,0,1097,83,3497,2
2024,September,3,California,6,6733,74087,59669,15737,4801,162488,11767,15190,7840,4594,4761,6849,743,51744,8859,31987,4300,10131,4045,59322,1461
2024,September,3,Colorado,8,24340,889,286,6045,59,35739,3337,3599,1056,428,1680,3163,16,13279,2626,180,9,6621,2123,11559,4120
2024,September,3,Connecticut,9,110,5425,28,34,699,6296,3581,970,405,182,1109,2,113,6362,606,1200,0,237,203,2246,0
2024,September,3,Delaware,10,55,12,13,3254,37,3371,1480,500,171,105,1003,1475,7,4741,290,18,2,1051,98,1459,0
2024,September,3,District Of Columbia,11,1913,2533,2246,2332,2204,11405,975,228,59,465,1084,232,258,3301,999,10706,25,892,680,13302,177
2024,September,3,Florida,12,5569,29275,3448,22066,4751,65433,10287,10494,6237,1357,2021,6672,946,38014,4785,12903,323,12925,2096,33032,324
2024,September,3,Georgia,13,49768,6042,1192,7958,489,65467,10825,7493,1397,704,2782,3360,67,26628,8722,2731,1540,15524,4797,33314,18
2024,September,3,Hawaii,15,18410,12668,6485,5382,1496,44604,2031,2361,695,196,2349,795,127,8554,3219,12118,615,1433,2325,19710,163
2024,September,3,Idaho,16,86,38,19,3203,6,3353,2945,564,166,119,1224,26,0,5044,790,93,0,751,55,1689,1
2024,September,3,Illinois,17,927,19356,325,4195,89,24895,9237,5414,1873,810,2681,1565,51,21631,7320,1079,38,2922,972,12331,3
2024,September,3,Indiana,18,622,99,152,107,26,1018,9186,2290,376,492,1946,1335,10,15635,2241,4380,283,940,4016,11860,12
2024,September,3,Iowa,19,99,17,18,33,33,200,6380,1669,136,131,1880,0,0,10196,1364,17,0,443,18,1842,0
2024,September,3,Kansas,20,16067,46,79,2920,73,19190,4473,1962,114,163,2024,764,15,9515,4696,17,0,994,954,6661,5
2024,September,3,Kentucky,21,30190,11,96,234,154,30685,6030,4220,243,93,1124,4,45,11759,7732,34,3,256,1478,9503,0
2024,September,3,Louisiana,22,6398,369,798,4924,1129,13619,9550,1705,867,1034,1472,1307,120,16055,3227,600,234,1727,527,6315,1
2024,September,3,Maine,23,62,79,14,9,436,600,1548,277,83,62,1080,0,72,3122,325,7758,0,287,675,9045,0
2024,September,3,Maryland,24,7792,9172,2298,8484,897,28913,4021,5680,3928,451,1803,1683,161,17727,15455,18245,400,2832,8806,45738,270
2024,September,3,Massachusetts,25,395,381,311,1082,1333,3556,5451,2692,255,751,2046,1984,356,13535,2367,173,6,3714,211,6471,54
2024,September,3,Michigan,26,416,182,165,100,1012,1875,6632,2287,781,648,2392,1,112,12853,7592,58,10,762,96,8518,0
