countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
Romania,360,ROU,Cincu Training Base,45.923644,24.796612,0,1,0
Romania,360,ROU,Smardan Training base,45.518061,27.914086,0,1,0
Saudi Arabia,670,SAU,Eskan Village,24.583807,46.862711,0,1,0
Saudi Arabia,670,SAU,"Drone base in east, near Yemen",19.115124,50.127868,0,1,0
Saudi Arabia,670,SAU,"Dammam, Saudi Arabia",26.283333,50.2,0,1,0
Saudi Arabia,670,SAU,"Dhahran AB, Saudi Arabia",26.265278,50.151944,0,1,0
Saudi Arabia,670,SAU,"Jubail, Saudi Arabia",27,49.666667,0,1,0
Saudi Arabia,670,SAU,"Yanbu, Saudi Arabia",24.083333,38,0,1,0
Saudi Arabia,670,SAU,Khamis,18.306944,42.809167,0,1,0
Saudi Arabia,670,SAU,Taif,21.479308,40.551255,0,1,0
Saudi Arabia,670,SAU,Tabuk,28.362467,36.579508,0,1,0
Senegal,433,SEN,Dakar,14.728252,-17.457471,0,1,0
Seychelles,591,SYC,Mahe International Airport,-4.674344,55.521853,0,1,0
Singapore,830,SGP,Sembawang,1.460138,103.823108,1,0,0
Singapore,830,SGP,Changi,1.320702,104.026958,0,1,0
Somalia,520,SOM,Baledogle Airfield,2.670833,44.793056,0,1,0
Somalia,520,SOM,Kismayo Airport,-0.375531,42.459912,0,1,0
South Sudan,626,SSD,Nzara,4.633437,28.254596,0,1,0
Spain,230,ESP,Moron AB,37.174999,-5.616,1,0,0
Spain,230,ESP,Rota NB,36.639957,-6.339344,1,0,0
Syria,652,SYR,Xerab Hisk/Harab Isk,36.553683,38.594818,1,0,0
Syria,652,SYR,Rmelan Airport,36.898448,41.997539,1,0,0
Syria,652,SYR,Tell Beydar/Tal Baydar,36.739067,40.581155,0,1,0
Syria,652,SYR,Tall Tamr/Tal Tamir,36.656857,40.368727,0,1,0
Syria,652,SYR,Ash Shaddadi,36.056365,40.730751,0,1,0
Syria,652,SYR,Ayn Issah/Ain Issa,36.384842,38.867184,0,1,0
Syria,652,SYR,Kobani/Ayn Al-Arab,36.891028,38.349996,0,1,0
Syria,652,SYR,Sabt,NA,NA,0,1,0
Syria,652,SYR,Ushariya,NA,NA,0,1,0
Syria,652,SYR,Ayn Dadad,NA,NA,0,1,0
Thailand,800,THA,U-Tapao,12.68174,100.998486,0,1,0
Tunisia,616,TUN,"CK: Mount Chaambi, Kasserine",35.217949,8.748524,1,0,0
Turkey,640,TUR,Ankara Admin Office,39.92077,32.85411,1,0,0
Turkey,640,TUR,Batman AB,37.915833,41.141944,1,0,0
Turkey,640,TUR,Izmir AS,38.41885,27.12872,1,0,0
Turkey,640,TUR,Incirlik AB,37.003237,35.425827,1,0,0
Turkey,640,TUR,Cigli AB,38.512778,27.01,1,0,0
Turkey,640,TUR,Yumurzalik Petroleum Storage,36.774681,35.788219,1,0,0
Uganda,500,UGA,Entebbe,0.047072,32.445657,0,1,0
Uganda,500,UGA,Singo Training School,-0.800173,31.498282,0,1,0
United Arab Emirates,696,ARE,Al Dhafra,24.24,54.548333,1,0,0
United Arab Emirates,696,ARE,Fujairah Aviation Unit,25.1,56.21,1,0,0
United Arab Emirates,696,ARE,Jebel Ali,25.01126,55.06116,1,0,0
United Kingdom,200,GBR,Barford St John Transmitter Annex,52.003944,-1.360415,1,0,0
United Kingdom,200,GBR,Bicester,51.899603,-1.15359,1,0,0
United Kingdom,200,GBR,Blenheim Crescent,51.569444,-0.433611,1,0,0
United Kingdom,200,GBR,Alconbury,52.363333,-0.222778,1,0,0
United Kingdom,200,GBR,Molesworth,52.3803,-0.408791,1,0,0
United Kingdom,200,GBR,Molesworth Storage Annex,52.369653,-0.426457,1,0,0
United Kingdom,200,GBR,Menwith Hill,54.008083,-1.688061,1,0,0
United Kingdom,200,GBR,Lakenheath,52.406006,0.559223,1,0,0
United Kingdom,200,GBR,"Eriswell FH Annex, Lakenheath",52.413917,0.521854,1,0,0
United Kingdom,200,GBR,Croughton,51.987809,-1.186094,1,0,0
United Kingdom,200,GBR,Ely Housing Complex,52.399539,0.262363,1,0,0
United Kingdom,200,GBR,Fairford,51.685016,-1.780387,1,0,0
United Kingdom,200,GBR,Feltwell,52.486378,0.519412,1,0,0
United Kingdom,200,GBR,Mildenhall,52.361697,0.48558,1,0,0
United Kingdom,200,GBR,Mildenhall Ammo Storage Annex,52.344421,0.510947,1,0,0
United Kingdom,200,GBR,Welford Ammo Storage Annex,52.414995,-1.056133,1,0,0
Uruguay,165,URY,"14th Battalion, Toledo",-34.740542,-56.096084,0,0,1
Virgin Islands,2,USA,Fredricksted,17.712519,-64.880846,1,0,0
Virgin Islands,2,USA,Christiansted,17.74661,-64.702897,1,0,0
Wake Island,2,USA,Wake Island,19.280042,166.647717,0,1,0
