countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
Germany,255,DEU,Bann,50.73743,7.098207,1,0,0
Germany,255,DEU,"USAG Rheinland-Pflaz, Baumholder",49.613889,7.333333,1,0,0
Germany,255,DEU,"Panzer Kaserne US AB, Boeblingen",48.681331,9.00883,1,0,0
Germany,255,DEU,Buechel Air Base,50.172908,7.083462,1,0,0
Germany,255,DEU,Darmstadt,49.877648,8.651762,1,0,0
Germany,255,DEU,Dexheim US Army Base,49.845929,8.316098,1,0,0
Germany,255,DEU,"USAFE Warrior Preparation Center, Einsiedlerhof",49.441063,7.665646,1,0,0
Germany,255,DEU,"USAG Bavaria, Garmisch",47.491695,11.095498,1,0,0
Germany,255,DEU,NATO Base Geilenkirchen,50.967168,6.117458,1,0,0
Germany,255,DEU,US Army Depot Germersheim,49.214024,8.366815,1,0,0
Germany,255,DEU,Giessen Army Depot,50.587142,8.690926,1,0,0
Germany,255,DEU,USAG Grafenwohr,49.714147,11.905874,1,0,0
Germany,255,DEU,US Army Depot Gruenstadt,49.563302,8.168394,1,0,0
Germany,255,DEU,USAG Heidelberg,49.398752,8.672434,1,0,0
Germany,255,DEU,Hof Germany,50.313539,11.912781,1,0,0
Germany,255,DEU,USAG Hohenfels,49.203278,11.849022,1,0,0
Germany,255,DEU,"Illesheim, Storck Barrakcs",49.475337,10.384905,1,0,0
Germany,255,DEU,USAG Kaiserlautern,49.440066,7.749126,1,0,0
Germany,255,DEU,Kornwestheim Barracks,48.862609,9.180971,1,0,0
Germany,255,DEU,Lampertheim Training Area,49.599727,8.466599,1,0,0
Germany,255,DEU,"Landshut, Seingberg Range",48.539225,12.145922,1,0,0
Germany,255,DEU,Landstuhl Regional Medical Center,49.412222,7.572222,1,0,0
Germany,255,DEU,"Egelsbach Transmitter Facility, Langen",49.991466,8.663401,1,0,0
Germany,255,DEU,Mainz Kastel Army Base,49.992862,8.247253,1,0,0
Germany,255,DEU,Mannheim Germany,49.487459,8.466039,0,1,0
Germany,255,DEU,Miesau Army Depot,49.404947,7.436811,1,0,0
Germany,255,DEU,Nahbollenbach Army Depot,49.717,7.367,1,0,0
Germany,255,DEU,Pfeffelbach,49.539236,7.327302,1,0,0
Germany,255,DEU,Pirmasens Army Depot,49.201555,7.600216,1,0,0
Germany,255,DEU,Ramstein AFB,49.44,7.5971,1,0,0
Germany,255,DEU,Schweinfurt,50.049205,10.219423,1,0,0
Germany,255,DEU,Schwetzingen,49.385219,8.572245,1,0,0
Germany,255,DEU,Seckenheim,49.463903,8.5592,1,0,0
Germany,255,DEU,Sembach AB,49.511398,7.864983,1,0,0
Germany,255,DEU,Spangdahlem AB,49.985679,6.684338,1,0,0
Germany,255,DEU,USAG Stuttgart,48.775418,9.181759,1,0,0
Germany,255,DEU,Trier,49.746883,6.634751,1,0,0
Germany,255,DEU,"Vilseck, Rose Barracks",49.610007,11.806215,1,0,0
Germany,255,DEU,US Army Base Wackernheim,49.973643,8.118423,1,0,0
Germany,255,DEU,Weilerbach,49.481389,7.632222,0,1,0
Germany,255,DEU,Weisskirchen,49.555611,6.818959,0,1,0
Germany,255,DEU,USAG Wiesbaden,50.06308,8.243344,0,1,0
Ghana,452,GHA,Takoradi/Sekondi,4.90297,-1.768277,0,1,0
Greece,350,GRC,US NSA Soudha Bay,35.537632,24.153585,1,0,0
Greece,350,GRC,"Marathi Pier Area, Chania",35.503625,24.173608,0,1,0
Greenland,390,DNK,Thule Air Base,77.48262,-69.345131,1,0,0
Guam,2,USA,Anderson AFB,13.5761,144.9244,1,0,0
Guam,2,USA,Apra Harbor NS,13.4497222,144.65,1,0,0
Guam,2,USA,Andy South,13.448889,144.800278,1,0,0
Guatemala,90,GTM,Puerto San Jose,13.920235,-90.810797,0,0,1
Guatemala,90,GTM,Poptun,16.327633,-89.408154,0,0,1
Guatemala,90,GTM,Champerico,14.293932,-91.913381,0,0,1
Guatemala,90,GTM,Coban,15.47134,-90.404305,0,0,1
Guatemala,90,GTM,Santa Ana de Berlin,14.7,-91.8833,0,0,1
Guatemala,90,GTM,Tecun Uman,14.673286,-92.132206,0,0,1
Guatemala,90,GTM,Puerto Barrios,15.719062,-88.601189,0,0,1
Honduras,91,HND,"US Southern Command Joint Force Bravo Soto Cano, Palmerola Honduran AFB",14.381902,-87.616722,1,0,0
Honduras,91,HND,Mocoron Tropics Region Testing Center,15.039154,-84.275469,0,1,0
Honduras,91,HND,Mocoron,15.038947,-84.277315,0,0,1
Honduras,91,HND,Guanaja,16.443976,-85.902367,0,0,1
Honduras,91,HND,Puerto Castilla,16.010554,-85.95134,0,0,1
Honduras,91,HND,La Venta,13.795229,-87.28952,0,0,1
Honduras,91,HND,El Aguacate,13.950329,-87.132217,0,0,1
Honduras,91,HND,Puerto Lempira,15.267511,-83.771347,0,0,1
Honduras,91,HND,La Brea,15.793265,-85.964799,0,0,1
Hong Kong,710,CHN,Chek Lap Kok Airport,22.298513,113.932679,0,1,0
Hungary,310,HUN,"Papa AB, Papa",47.362976,17.501107,0,1,0
Iceland,395,ISL,Grindavik Naval Transmission Facility,63.846191,-22.44479,1,0,0
Iceland,395,ISL,Keflavik Naval Air Station,63.9843294,-22.60333092,0,1,0
Iraq,645,IRQ,"Green Zone, Baghdad",33.307577,44.390259,1,0,0
Iraq,645,IRQ,Camp Taji (a.k.a. Camp Cooke),33.529444,44.2775,1,0,0
Iraq,645,IRQ,Al Asad AB,33.789367,42.444692,0,1,0
Iraq,645,IRQ,Al Taqaddum,33.33911,43.598341,0,1,0
Ireland,205,IRL,Shannon Airport,52.701944,-8.924722,0,1,0
Israel,666,ISR,Dimona Radar Base,30.967591,35.097121,0,1,0
Israel,666,ISR,"Sdot Micha (aka Tal Shahar), Beit Shemesh",31.738611,34.919444,0,1,0
Israel,666,ISR,Haifa (port facils for 6th fleet),32.816667,34.983333,0,1,0
Israel,666,ISR,Site 51 [loc. Is random in Negev],30.77243,34.977783,0,1,0
Israel,666,ISR,Site 53 [loc. Is random in Negev],30.77896,35.129283,0,1,0
Israel,666,ISR,Site 54,NA,NA,0,1,0
Italy,325,ITA,"Augusta Bay, Catania",37.508039,15.082851,1,0,0
Italy,325,ITA,Aviano AB,46.069863,12.598471,1,0,0
Italy,325,ITA,"Camp Darby, Tirrenia/Livorno",43.634506,10.291604,1,0,0
Italy,325,ITA,"Camp Ederle, Vicenza",45.545479,11.535421,1,0,0
Italy,325,ITA,Naval Support Activity Naples,40.851775,14.268124,1,0,0
Italy,325,ITA,Naval Support Activity Gaeta,41.244724,13.55526,1,0,0
Italy,325,ITA,Brescia Radio Relay Site,45.541188,10.219444,0,1,0
Italy,325,ITA,Naval Support Activity Naples,40.851775,14.268124,1,0,0
Italy,325,ITA,"Caserma Del Din, Vicenza",45.545479,11.535421,1,0,0
Italy,325,ITA,"Dandolo MOUT facility, Maniago",46.165086,12.706567,1,0,0
Italy,325,ITA,NAS 1 Support Area Catania,37.508039,15.082851,1,0,0
Italy,325,ITA,NAS Sigonella,37.401667,14.922222,1,0,0
Italy,325,ITA,Pisa Ammo Storage Area (Camp Darby),43.722839,10.401689,1,0,0
Italy,325,ITA,San Vito Normanni,40.658316,17.706466,1,0,0
Italy,325,ITA,"Naval Radio Transmitter Facility, Niscemi",37.117222,14.44,1,0,0
Japan,740,JPN,"Yokota AB, Tokyo",35.689488,139.69171,1,0,0
Japan,740,JPN,"US Fleet Activities, Sasebo",33.179915,129.71511,1,0,0
Japan,740,JPN,Akizuki Ammunition Depot,33.469572,130.69098,1,0,0
Japan,740,JPN,"Kadena AB, Okinawa",26.355556,127.7675,1,0,0
Japan,740,JPN,NAF Atsugi,35.443082,139.36249,1,0,0
Japan,740,JPN,"Camo Kinser, Makiminato",26.265937,127.72383,1,0,0
Japan,740,JPN,CATC Camp Fuji,35.3556,138.8597,1,0,0
